locate,avg_money,var_money
臺北市,1312.99,747.83
高雄市,850.14,162.12
臺中市,838.10,179.93
基隆市,767.01,101.14
臺南市,813.21,190.07
嘉義市,850.21,118.56
新竹市,1177.34,322.13
新北市,853.28,201.3
宜蘭縣,732.26,103.54
桃園縣,873.61,149.13
新竹縣,1019.00,122.46
苗栗縣,757.59,108.14
南投縣,718.23,150.55
彰化縣,738.85,746.18
雲林縣,720.58,159.25
嘉義縣,704.77,94.49
屏東縣,723.18,129.84
花蓮縣,738.54,99.92
臺東縣,729.15,129.8
澎湖縣,824.54,84.26
金門縣,896.05,80.26
連江縣,977.21,74.87
